"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","week","pointsDiff"
"45","Texas State","Baylor",-13,35.0871449205585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,1300,58.5,1,11
"46","Baylor","Texas State",13,-35.0871449205585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.5,-5000,58.5,1,-11
"47","Arkansas State","Oklahoma",104,35.0871449205585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,3000,61,1,-73
"48","Oklahoma","Arkansas State",-104,-35.0871449205585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.5,-20000,61,1,73
"49","Northern Iowa","Iowa State",-51,-46.8805970149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,285,42.5,1,-21
"50","Iowa State","Northern Iowa",51,46.8805970149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.5,-370,42.5,1,21
"51","Wyoming","Texas Tech",-16,31.5887907401766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,460,52.5,1,2
"52","Texas Tech","Wyoming",16,-31.5887907401766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.5,-675,52.5,1,-2
"53","Colorado","TCU",-6,-7.1113662456946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,575,59,1,3
"54","TCU","Colorado",6,7.1113662456946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,-900,59,1,-3
"55","Penn State","West Virginia",-29,7.1488147497805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-1400,53.5,1,23
"56","West Virginia","Penn State",29,-7.1488147497805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,750,53.5,1,-23
"57","South Dakota","Missouri",-25,-36.8615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1600,46.5,1,-25
"58","Missouri","South Dakota",25,36.8615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,-10000,46.5,1,25
"59","Iowa","Utah State",-53,-24.4399759903961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,-2800,43.5,1,10
"60","Utah State","Iowa",53,24.4399759903961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1100,43.5,1,-10
"61","Washington","Boise State",-64,-38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.5,-675,58.5,1,37
"62","Boise State","Washington",64,38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,460,58.5,1,-37
"63","Washington State","Colorado State",-83,-38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.5,-500,54.5,1,26
"64","Colorado State","Washington State",83,38.7001569858712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,360,54.5,1,-26
"65","Purdue","Fresno State",36,-24.4399759903961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5,-180,51.5,1,-4
"66","Fresno State","Purdue",-36,24.4399759903961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,155,51.5,1,4
"67","Bryant","UNLV",-73,-78.469387755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,525,58,1,-30
"68","UNLV","Bryant",73,78.469387755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.5,-800,58,1,30
