"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","week","pointsDiff"
"45","Texas State","Baylor",1,43.1825396825396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,1300,58.5,1,11
"46","Baylor","Texas State",-1,-43.1825396825396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.5,-5000,58.5,1,-11
"47","Arkansas State","Oklahoma",112,43.1825396825396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,3000,61,1,-73
"48","Oklahoma","Arkansas State",-112,-43.1825396825396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.5,-20000,61,1,73
"49","Northern Iowa","Iowa State",-65,-45.7619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,285,42.5,1,-21
"50","Iowa State","Northern Iowa",65,45.7619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.5,-370,42.5,1,21
"51","Wyoming","Texas Tech",5,42.1666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,460,52.5,1,2
"52","Texas Tech","Wyoming",-5,-42.1666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.5,-675,52.5,1,-2
"53","Colorado","TCU",-11,-11.2355889724311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,575,59,1,3
"54","TCU","Colorado",11,11.2355889724311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,-900,59,1,-3
"55","Penn State","West Virginia",-72,4.8571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-1400,53.5,1,23
"56","West Virginia","Penn State",72,-4.8571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,750,53.5,1,-23
"57","South Dakota","Missouri",-52,-39.9285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1600,46.5,1,-25
"58","Missouri","South Dakota",52,39.9285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,-10000,46.5,1,25
"59","Iowa","Utah State",-74,-37.3095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,-2800,43.5,1,10
"60","Utah State","Iowa",74,37.3095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1100,43.5,1,-10
"61","Washington","Boise State",-70,-53.4022556390977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.5,-675,58.5,1,37
"62","Boise State","Washington",70,53.4022556390977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,460,58.5,1,-37
"63","Washington State","Colorado State",-103,-53.4022556390977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.5,-500,54.5,1,26
"64","Colorado State","Washington State",103,53.4022556390977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,360,54.5,1,-26
"65","Purdue","Fresno State",8,-37.3095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5,-180,51.5,1,-4
"66","Fresno State","Purdue",-8,37.3095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,155,51.5,1,4
