"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","week","pointsDiff"
"175","UCLA","San Diego State",-55,-53.4022556390977,0,-1,98,3.2,-2,2,-0.0570000000000001,0,-1,98,3.2,-2,2,-0.056650246305419,-13,-575,49,2,25
"176","San Diego State","UCLA",55,53.4022556390977,0,1,-98,-3.2,2,-2,0.0570000000000001,0,1,-98,-3.2,2,-2,0.056650246305419,13,400,49,2,-25
"177","Charlotte","Maryland",91,33.6967418546366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,1100,50.5,2,-18
"178","Maryland","Charlotte",-91,-33.6967418546366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5,-3500,50.5,2,18
"179","Temple","Rutgers",49,33.6967418546366,-1,-61,68,0.4,-4,-1,-0.015,-1,-61,68,0.4,-4,-1,-0.014778325123153,10,300,46.5,2,-29
"180","Rutgers","Temple",-49,-33.6967418546366,1,61,-68,-0.4,4,1,0.015,1,61,-68,-0.4,4,1,0.014778325123153,-10,-400,46.5,2,29
"181","Washington State","Wisconsin",-7,-16.0927318295739,-1,-224,53,3.2,-10,0,-0.014,-1,-224,53,3.2,-10,0,-0.014193548387097,4.5,155,55,2,9
"182","Wisconsin","Washington State",7,16.0927318295739,1,224,-53,-3.2,10,0,0.014,1,224,-53,-3.2,10,0,0.014193548387097,-4.5,-180,55,2,-9
"183","Colorado","Nebraska",-53,-16.0927318295739,2,-126,270,4.9,-20,-3,0.23,2,-126,270,4.9,-20,-3,0.229563269876819,-2.5,-150,58.5,2,22
"184","Nebraska","Colorado",53,16.0927318295739,-2,126,-270,-4.9,20,3,-0.23,-2,126,-270,-4.9,20,3,-0.229563269876819,2.5,130,58.5,2,-22
"185","UTEP","Northwestern",28,53.9142857142854,1.5,230.5,192.5,2.6,46,-0.5,0.0930000000000001,1,144,163,2.6,25,1,0.000841042893186983,0,-105,37.5,2,-31
"186","Northwestern","UTEP",-28,-53.9142857142854,-1.5,-230.5,-192.5,-2.6,-46,0.5,-0.0930000000000001,-1,-144,-163,-2.6,-25,-1,-0.000841042893186983,0,-115,37.5,2,31
"187","North Carolina Central","North Carolina A&T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,215,57.5,2,14
"188","North Carolina A&T","North Carolina Central",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,-260,57.5,2,-14
"189","Marshall","East Carolina",-21,4.62865497076019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115,46.5,2,18
"190","East Carolina","Marshall",21,-4.62865497076019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105,46.5,2,-18
"191","Arkansas State","Memphis",74,4.62865497076019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,800,58.5,2,-34
"192","Memphis","Arkansas State",-74,-4.62865497076019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.5,-1600,58.5,2,34
"193","North Texas","Florida International",10,-20.2175438596488,-1,-54.5,-18.5,2.1,-44.5,1,0.148,-2,-137,43,6.8,-30,2,0.21978021978022,-14,-585,53.5,2,-7
"194","Florida International","North Texas",-10,20.2175438596488,1,54.5,18.5,-2.1,44.5,-1,-0.148,2,137,-43,-6.8,30,-2,-0.21978021978022,14,410,53.5,2,7
"195","USC","Stanford",-87,0,1,2,95,2.8,-24,0,-0.0079999999999999,1,2,95,2.8,-24,0,-0.00873015873015792,-30,-10000,71,2,46
"196","Stanford","USC",87,0,-1,-2,-95,-2.8,24,0,0.0079999999999999,-1,-2,-95,-2.8,24,0,0.00873015873015792,30,1600,71,2,-46
"197","UAB","Georgia Southern",22,-4.62865497076019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,190,59,2,-14
"198","Georgia Southern","UAB",-22,4.62865497076019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-230,59,2,14
"199","Jacksonville State","Coastal Carolina",-81,15.5888888888886,4,166.5,-25.5,-1.65,13.5,-3,-0.0590000000000001,6,181,19,0,20,-3,0.033047735618115,13,390,56.5,2,-14
"200","Coastal Carolina","Jacksonville State",81,-15.5888888888886,-4,-166.5,25.5,1.65,-13.5,3,0.0590000000000001,-6,-181,-19,0,-20,3,-0.033047735618115,-13,-550,56.5,2,14
"201","Connecticut","Georgia State",-17,-12.8015873015873,-1,-71,-151,-5.5,-4,1,-0.281,-1,-71,-151,-5.5,-4,1,-0.281481481481482,5,135,54.5,2,-21
"202","Georgia State","Connecticut",17,12.8015873015873,1,71,151,5.5,4,-1,0.281,1,71,151,5.5,4,-1,0.281481481481482,-5,-160,54.5,2,21
"203","UT San Antonio","Texas State",-30,-4.62865497076019,-2,65,-24,-4.1,33,1,-0.233,-2,65,-24,-4.1,33,1,-0.233333333333333,-11,0,62,2,7
"204","Texas State","UT San Antonio",30,4.62865497076019,2,-65,24,4.1,-33,-1,0.233,2,-65,24,4.1,-33,-1,0.233333333333333,11,335,62,2,-7
"205","Rice","Houston",23,38.5538847117794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,275,52.5,2,2
"206","Houston","Rice",-23,-38.5538847117794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-350,52.5,2,-2
"207","New Mexico State","Liberty",37,0,2,0,171,6.05,-1,0.5,0.133,4,24,261,10.1,24,-1,0.222727272727273,13,390,56.5,2,-16
"208","Liberty","New Mexico State",-37,0,-2,0,-171,-6.05,1,-0.5,-0.133,-4,-24,-261,-10.1,-24,1,-0.222727272727273,-13,-550,56.5,2,16
