"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","pointsDiff"
"1","Marshall","Notre Dame",62,9.6966887417219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,850,52,5
"2","Notre Dame","Marshall",-62,-9.6966887417219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,-1800,52,-5
"3","Kentucky","Florida",-13,0,-4,-233,-98,2.5,-8,0,-0.0519999999999999,-4,-233,-98,2.5,-8,0,-0.052083333333333,4.5,180,51.5,10
"4","Florida","Kentucky",13,0,4,233,98,-2.5,8,0,0.0519999999999999,4,233,98,-2.5,8,0,0.052083333333333,-4.5,-220,51.5,-10
"5","Pittsburgh","Tennessee",19,16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,185,65,-7
"6","Tennessee","Pittsburgh",-19,-16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-225,65,7
"7","Arkansas","South Carolina",1,0,0,145,141,2.5,-7,-1,0.07,0,145,141,2.5,-7,-1,0.0706860706860699,-9,-320,53,14
"8","South Carolina","Arkansas",-1,0,0,-145,-141,-2.5,7,1,-0.07,0,-145,-141,-2.5,7,1,-0.0706860706860699,9,260,53,-14
"9","Wake Forest","Vanderbilt",-22,16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,-460,61.5,20
"10","Vanderbilt","Wake Forest",22,-16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,340,61.5,-20
"11","Texas","Alabama",6,6.2041933191187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,775,61.5,-1
"12","Alabama","Texas",-6,-6.2041933191187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.5,-1500,61.5,1
"13","Arizona","Mississippi State",18,13.6525036109774,-1,65,-86,-0.699999999999999,-20,0,-0.147,-1,65,-86,-0.699999999999999,-20,0,-0.146938775510204,8.5,290,61,-22
"14","Mississippi State","Arizona",-18,-13.6525036109774,1,-65,86,0.699999999999999,20,0,0.147,1,-65,86,0.699999999999999,20,0,0.146938775510204,-8.5,-380,61,22
"15","San José State","Auburn",52,63.0704936854191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1100,51.5,-8
"16","Auburn","San José State",-52,-63.0704936854191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-2800,51.5,8
"17","Penn State","Ohio",-75,-61.7437570303709,0,-33,-70,-2.6,1,1,-0.257,0,-33,-70,-2.6,1,1,-0.257532281205164,-26.5,-2800,53.5,36
"18","Ohio","Penn State",75,61.7437570303709,0,33,70,2.6,-1,-1,0.257,0,33,70,2.6,-1,-1,0.257532281205164,26.5,1100,53.5,-36
"19","Ball State","Western Michigan",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,200,55.5,-7
"20","Western Michigan","Ball State",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,-240,55.5,7
"21","Louisiana","Eastern Michigan",-12,-16.5899254315061,-3,9,-21,-1.2,-24,-2,-0.0549999999999999,-3,9,-21,-1.2,-24,-2,-0.054838709677419,-11,-450,56,28
"22","Eastern Michigan","Louisiana",12,16.5899254315061,3,-9,21,1.2,24,2,0.0549999999999999,3,-9,21,1.2,24,2,0.054838709677419,11,335,56,-28
"23","South Alabama","Central Michigan",-51,-16.5899254315061,1,54,-38,0.800000000000001,12,-1,0.00800000000000001,1,54,-38,0.800000000000001,12,-1,0.00816326530612299,6.5,170,59,14
"24","Central Michigan","South Alabama",51,16.5899254315061,-1,-54,38,-0.800000000000001,-12,1,-0.00800000000000001,-1,-54,38,-0.800000000000001,-12,1,-0.00816326530612299,-6.5,-200,59,-14
"25","Tulsa","Northern Illinois",11,-29.0188175630585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-235,57,3
"26","Northern Illinois","Tulsa",-11,29.0188175630585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,195,57,-3
"27","Virginia Tech","Boston College",5,0,1,118,28,-1.5,60,2,0.0219999999999999,1,118,28,-1.5,60,2,0.0223577235772351,-3,-135,45,17
"28","Boston College","Virginia Tech",-5,0,-1,-118,-28,1.5,-60,-2,-0.0219999999999999,-1,-118,-28,1.5,-60,-2,-0.0223577235772351,3,115,45,-17
"29","Georgia State","North Carolina",81,42.8566887417219,-2,-15,-256,-6.3,-55,0,-0.445,-2,-15,-256,-6.3,-55,0,-0.444334975369458,9.5,215,68,-7
"30","North Carolina","Georgia State",-81,-42.8566887417219,2,15,256,6.3,55,0,0.445,2,15,256,6.3,55,0,0.444334975369458,-9.5,-260,68,7
"31","Illinois","Virginia",-53,-2.2971428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,-175,56.5,21
"32","Virginia","Illinois",53,2.2971428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,150,56.5,-21
"33","Northwestern","Duke",55,-2.2971428571429,1,42,28,-2.6,15,1,-0.0890000000000001,1,42,28,-2.6,15,1,-0.089473684210526,-9,-380,56.5,-8
"34","Duke","Northwestern",-55,2.2971428571429,-1,-42,-28,2.6,-15,-1,0.0890000000000001,-1,-42,-28,2.6,-15,-1,0.089473684210526,9,290,56.5,8
"35","UT San Antonio","Army",-63,15.971186440678,-1,-98,97,-10.3,7,0,0.122,-1,-98,97,-10.3,7,0,0.122222222222222,-1.5,-150,54,3
"36","Army","UT San Antonio",63,-15.971186440678,1,98,-97,10.3,-7,0,-0.122,1,98,-97,10.3,-7,0,-0.122222222222222,1.5,130,54,-3
"37","Arizona State","Oklahoma State",26,7.4483102918587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,325,54,-17
"38","Oklahoma State","Arizona State",-26,-7.4483102918587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-435,54,17
"39","Missouri","Kansas State",33,-6.2041933191187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,250,55.5,-28
"40","Kansas State","Missouri",-33,6.2041933191187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.5,-300,55.5,28
"41","BYU","Baylor",22,43.3047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-150,53,6
"42","Baylor","BYU",-22,-43.3047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,130,53,-6
"43","Iowa","Iowa State",-35,7.847619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,-175,41.5,-3
"44","Iowa State","Iowa",35,-7.847619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,150,41.5,3
"45","Houston","Texas Tech",40,40.5725585149314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,140,65.5,-3
"46","Texas Tech","Houston",-40,-40.5725585149314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-165,65.5,3
"47","West Virginia","Kansas",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.5,-525,57.5,-13
"48","Kansas","West Virginia",-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,375,57.5,13
"49","Appalachian State","Texas A&M",54,59.2056439656025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,650,54,3
"50","Texas A&M","Appalachian State",-54,-59.2056439656025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.5,-1100,54,-3
"51","Connecticut","Syracuse",44,33.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,950,53.5,-34
"52","Syracuse","Connecticut",-44,-33.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.5,-2000,53.5,34
"53","New Mexico","Boise State",88,0,2,141,126,4.9,55,-3,0.185,2,141,126,4.9,55,-3,0.184640522875817,17,525,46.5,-17
"54","Boise State","New Mexico",-88,0,-2,-141,-126,-4.9,-55,3,-0.185,-2,-141,-126,-4.9,-55,3,-0.184640522875817,-17,-800,46.5,17
"55","Middle Tennessee","Colorado State",-27,2.40964797913949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,310,57,15
"56","Colorado State","Middle Tennessee",27,-2.40964797913949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-415,57,-15
"57","Colorado","Air Force",33,-49.4179900744417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,575,45.5,-31
"58","Air Force","Colorado",-33,49.4179900744417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-900,45.5,31
"59","Oregon State","Fresno State",-48,-49.4179900744417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-105,60.5,3
"60","Fresno State","Oregon State",48,49.4179900744417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-115,60.5,-3
"61","California","UNLV",-49,-49.4179900744417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-480,50.5,6
"62","UNLV","California",49,49.4179900744417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,350,50.5,-6
"63","UCF","Louisville",11,30.4277966101695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-210,61.5,-6
"64","Louisville","UCF",-11,-30.4277966101695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,175,61.5,6
"65","Washington State","Wisconsin",40,-0.399308755760302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,625,46.5,3
"66","Wisconsin","Washington State",-40,0.399308755760302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-1000,46.5,-3
"67","Georgia Southern","Nebraska",38,45.1538315988648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,1100,59.5,3
"68","Nebraska","Georgia Southern",-38,-45.1538315988648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.5,-2800,59.5,-3
"69","UTEP","New Mexico State",7,15.971186440678,0,22,97,-0.300000000000001,-5,-4,-0.091,0,22,97,-0.300000000000001,-5,-4,-0.091911764705882,-13.5,-850,46,7
"70","New Mexico State","UTEP",-7,-15.971186440678,0,-22,-97,0.300000000000001,5,4,0.091,0,-22,-97,0.300000000000001,5,4,0.091911764705882,13.5,550,46,-7
"71","UAB","Liberty",22,15.971186440678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-240,52,-7
"72","Liberty","UAB",-22,-15.971186440678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,200,52,7
"73","Old Dominion","East Carolina",37,12.4288921315524,0,-36,-138,-1.8,45,0,-0.21,0,-36,-138,-1.8,45,0,-0.209756097560976,11,360,52,-18
"74","East Carolina","Old Dominion",-37,-12.4288921315524,0,36,138,1.8,-45,0,0.21,0,36,138,1.8,-45,0,0.209756097560976,-11,-500,52,18
"75","Navy","Memphis",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,170,50,-24
"76","Memphis","Navy",-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,-200,50,24
"77","Texas State","Florida International",-1,-6.2744976989561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-575,55,29
"78","Florida International","Texas State",1,6.2744976989561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,400,55,-29
"79","USC","Stanford",-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-310,65,13
"80","Stanford","USC",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,255,65,-13
"81","Missouri State","UT Martin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-550,56.5,5
"82","UT Martin","Missouri State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,390,56.5,-5
"83","California","Notre Dame",46,-35.8564516129032,-1,16.5,90.5,-0.399999999999999,2,-0.5,0.134,-1,-38,19,1.3,10,-2,0.16531713900135,12.5,350,43,-7
"84","Notre Dame","California",-46,35.8564516129032,1,-16.5,-90.5,0.399999999999999,-2,0.5,-0.134,1,38,-19,-1.3,-10,2,-0.16531713900135,-12.5,-480,43,7
"85","South Carolina","Georgia",28,0,-2,-72.5,-210,-4.05,-19.5,2.5,-0.192,-1,-92,-155,-2.3,-34,3,-0.195426195426196,24.5,1200,50.5,-41
"86","Georgia","South Carolina",-28,0,2,72.5,210,4.05,19.5,-2.5,0.192,1,92,155,2.3,34,-3,0.195426195426196,-24.5,-4000,50.5,41
"87","South Florida","Florida",68,46.7767518340501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,1100,59,-3
"88","Florida","South Florida",-68,-46.7767518340501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5,-2800,59,3
"89","Northern Illinois","Vanderbilt",36,75.7955693971086,-1,-132.5,-62.5,1.4,42.5,-0.5,-0.012,1,13,91,1.4,61,-2,-0.034739454094292,-1.5,-130,61.5,-10
"90","Vanderbilt","Northern Illinois",-36,-75.7955693971086,1,132.5,62.5,-1.4,-42.5,0.5,0.012,-1,-13,-91,-1.4,-61,2,0.034739454094292,1.5,110,61.5,10
"91","Georgia Tech","Ole Miss",53,16.3489552238806,-3,-193,-196,-1.2,70,-2,-0.016,-3,-193,-196,-1.2,70,-2,-0.016283524904214,14.5,525,60,-42
"92","Ole Miss","Georgia Tech",-53,-16.3489552238806,3,193,196,1.2,-70,2,0.016,3,193,196,1.2,-70,2,0.016283524904214,-14.5,-800,60,42
"93","LSU","Mississippi State",-40,0,-0.5,37.5,-138.5,-1.8,-37.5,-0.5,-0.0740000000000001,0,33,-78,-0.4,-50,-1,-0.0857142857142861,2.5,120,54,15
"94","Mississippi State","LSU",40,0,0.5,-37.5,138.5,1.8,37.5,0.5,0.0740000000000001,0,-33,78,0.4,50,1,0.0857142857142861,-2.5,-140,54,-15
"95","Penn State","Auburn",-31,14.0518123667377,-1,-44,111,0.45,-39.5,-1.5,0.028,0,24,194,0.7,-50,-2,0.129399585921325,-3,-140,48.5,29
"96","Auburn","Penn State",31,-14.0518123667377,1,44,-111,-0.45,39.5,1.5,-0.028,0,-24,-194,-0.7,50,2,-0.129399585921325,3,120,48.5,-29
"97","Cincinnati","Miami (OH)",-32,-29.0188175630585,0,2,148,2,20,1,-0.083,0,2,148,2,20,1,-0.082848837209302,-20,-2500,50,21
"98","Miami (OH)","Cincinnati",32,29.0188175630585,0,-2,-148,-2,-20,-1,0.083,0,-2,-148,-2,-20,-1,0.082848837209302,20,1050,50,-21
"99","Iowa State","Ohio",-22,-69.5913760779899,-1,13.5,-57,-2.3,0,3,0.048,-1,29,49,0.7,10,3,0.232894736842105,-21.5,-1100,49,33
"100","Ohio","Iowa State",22,69.5913760779899,1,-13.5,57,2.3,0,-3,-0.048,1,-29,-49,-0.7,-10,-3,-0.232894736842105,21.5,650,49,-33
"101","Pittsburgh","Western Michigan",-85,-59.446614173228,-0.5,-65.5,14,4.15,-22,-0.5,0.013,-3,-66,-22,0.9,-44,0,-0.058668076109936,-10,-420,54.5,21
"102","Western Michigan","Pittsburgh",85,59.446614173228,0.5,65.5,-14,-4.15,22,0.5,-0.013,3,66,22,-0.9,44,0,0.058668076109936,10,315,54.5,-21
"103","Arizona State","Eastern Michigan",-26,-62.1430657861312,-1,47.5,-26.5,2.1,23,-2.5,-0.145,0,88,-12,3.5,10,-4,-0.112876254180602,-19.5,-1300,57.5,-9
"104","Eastern Michigan","Arizona State",26,62.1430657861312,1,-47.5,26.5,-2.1,-23,2.5,0.145,0,-88,12,-3.5,-10,4,0.112876254180602,19.5,725,57.5,9
"105","Coastal Carolina","Buffalo",-37,-16.5899254315061,1,155,169,5.6,-9,0,0.192,1,155,169,5.6,-9,0,0.191596638655463,-18.5,-500,58,12
"106","Buffalo","Coastal Carolina",37,16.5899254315061,-1,-155,-169,-5.6,9,0,-0.192,-1,-155,-169,-5.6,9,0,-0.191596638655463,18.5,360,58,-12
"107","Louisville","Florida State",26,0,0.5,49.5,-11.5,-0.15,9,1,0.005,1,94,35,-1,33,0,-0.123301985370951,1.5,130,54.5,-4
"108","Florida State","Louisville",-26,0,-0.5,-49.5,11.5,0.15,-9,-1,-0.005,-1,-94,-35,1,-33,0,0.123301985370951,-1.5,-150,54.5,4
"109","Texas Tech","NC State",-17,-10.1447619047619,1,-16,124,-0.5,-29,1,0.095,1,-16,124,-0.5,-29,1,0.095017976373909,10,285,55.5,-13
"110","NC State","Texas Tech",17,10.1447619047619,-1,16,-124,0.5,29,-1,-0.095,-1,16,-124,0.5,29,-1,-0.095017976373909,-10,-370,55.5,13
"111","Liberty","Wake Forest",33,33.16,1,65,-32.5,-4.15,64.5,1,-0.15,2,37,-61,-3,53,0,-0.146666666666667,17,500,62.5,-1
"112","Wake Forest","Liberty",-33,-33.16,-1,-65,32.5,4.15,-64.5,-1,0.15,-2,-37,61,3,-53,0,0.146666666666667,-17,-750,62.5,1
"113","Texas A&M","Miami",-13,-16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-210,48.5,8
"114","Miami","Texas A&M",13,16.3489552238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,175,48.5,-8
"115","Old Dominion","Virginia",29,42.8566887417219,0.5,5.5,45.5,2,35,-1,0.139,0,-27,68,4.4,45,-1,0.249261083743843,10.5,265,53,-2
"116","Virginia","Old Dominion",-29,-42.8566887417219,-0.5,-5.5,-45.5,-2,-35,1,-0.139,0,27,-68,-4.4,-45,1,-0.249261083743843,-10.5,-330,53,2
"117","Marshall","Bowling Green",-44,-16.5899254315061,1,182,202,3.4,-1,-1,0.29,1,182,202,3.4,-1,-1,0.28968253968254,-18.5,-750,53.5,-3
"118","Bowling Green","Marshall",44,16.5899254315061,-1,-182,-202,-3.4,1,1,-0.29,-1,-182,-202,-3.4,1,1,-0.28968253968254,18.5,500,53.5,3
"119","Tulane","Kansas State",6,40.5725585149314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,430,49,7
"120","Kansas State","Tulane",-6,-40.5725585149314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.5,-625,49,-7
"121","Nebraska","Oklahoma",28,7.847619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,325,64.5,-35
"122","Oklahoma","Nebraska",-28,-7.847619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-450,64.5,35
"123","UT San Antonio","Texas",20,59.2759483454399,1,49.5,105.5,-0.85,32,0.5,-0.00900000000000001,2,74,141,-0.6,40,0,0.034640522875817,13.5,360,59,-21
"124","Texas","UT San Antonio",-20,-59.2759483454399,-1,-49.5,-105.5,0.85,-32,-0.5,0.00900000000000001,-2,-74,-141,0.6,-40,0,-0.034640522875817,-13.5,-500,59,21
"125","Houston","Kansas",17,40.5725585149314,-3,-86,-69,-1,28,1.5,-0.021,-3,-112,-65,-0.8,51,2,-0.107869142351901,-10.5,-310,62,-18
"126","Kansas","Houston",-17,-40.5725585149314,3,86,69,1,-28,-1.5,0.021,3,112,65,0.8,-51,-2,0.107869142351901,10.5,255,62,18
"127","Purdue","Syracuse",-5,-2.2971428571429,-0.5,-111.5,-31,-4.5,31,1,-0.269,-1,-86,-39,-5.8,77,1,-0.307692307692308,1,105,59,-3
"128","Syracuse","Purdue",5,2.2971428571429,0.5,111.5,31,4.5,-31,-1,0.269,1,86,39,5.8,-77,-1,0.307692307692308,-1,-120,59,3
"129","Washington State","Colorado State",-61,-49.4179900744417,1,63,7,-1.4,-17,-1,-0.0600000000000001,1,63,7,-1.4,-17,-1,-0.05952380952381,-16.5,-800,53,31
"130","Colorado State","Washington State",61,49.4179900744417,-1,-63,-7,1.4,17,1,0.0600000000000001,-1,-63,-7,1.4,17,1,0.05952380952381,16.5,525,53,-31
"131","Air Force","Wyoming",-36,0,5,272.5,137.5,-3.4,-22.5,1.5,-0.258,5,253,231,0.1,-14,1,-0.05,-15,-750,50,-3
"132","Wyoming","Air Force",36,0,-5,-272.5,-137.5,3.4,22.5,-1.5,0.258,-5,-253,-231,-0.1,14,-1,0.05,15,500,50,3
"133","UTEP","New Mexico",-13,2.40964797913949,-1.5,-38.5,57,-0.65,-12,0.5,-0.113,1,83,151,2.6,16,2,0.16005291005291,-3.5,-135,41,-17
"134","New Mexico","UTEP",13,-2.40964797913949,1.5,38.5,-57,0.65,12,-0.5,0.113,-1,-83,-151,-2.6,-16,-2,-0.16005291005291,3.5,115,41,17
"135","USC","Fresno State",-60,-49.4179900744417,-1,32,13,4.8,37,0,0.111,-1,32,13,4.8,37,0,0.110305958132045,-13,-450,71,28
"136","Fresno State","USC",60,49.4179900744417,1,-32,-13,-4.8,-37,0,-0.111,1,-32,-13,-4.8,-37,0,-0.110305958132045,13,335,71,-28
"137","Utah","San Diego State",-56,-49.4179900744417,2,60,214,2.9,-22,-1,0.25,2,60,214,2.9,-22,-1,0.25,-21,-1800,49.5,28
"138","San Diego State","Utah",56,49.4179900744417,-2,-60,-214,-2.9,22,1,-0.25,-2,-60,-214,-2.9,22,1,-0.25,21,850,49.5,-28
"139","North Texas","UNLV",-19,2.40964797913949,0,79.5,101.5,1.1,-52.5,1,-0.034,0,60,90,1.9,-40,0,0.00626959247648906,2.5,115,57.5,-31
"140","UNLV","North Texas",19,-2.40964797913949,0,-79.5,-101.5,-1.1,52.5,-1,0.034,0,-60,-90,-1.9,40,0,-0.00626959247648906,-2.5,-135,57.5,31
"141","Iowa","Nevada",-106,-49.0186813186814,-2,-98.5,-117.5,-1.9,-33.5,3,-0.26,-1,-121,-107,0,-40,3,-0.164251207729469,-21.5,-3500,40.5,27
"142","Nevada","Iowa",106,49.0186813186814,2,98.5,117.5,1.9,33.5,-3,0.26,1,121,107,0,40,-3,0.164251207729469,21.5,1125,40.5,-27
"143","Washington","Michigan State",-48,-0.399308755760302,1,-65,95,-0.799999999999999,22,-1,0.159,1,-65,95,-0.799999999999999,22,-1,0.159090909090909,-1,-165,55,11
"144","Michigan State","Washington",48,0.399308755760302,-1,65,-95,0.799999999999999,-22,1,-0.159,-1,65,-95,0.799999999999999,-22,1,-0.159090909090909,1,140,55,-11
"145","SMU","Maryland",20,32.7249394673124,-2,1,130,4,-40,1,0.021,-2,1,130,4,-40,1,0.021008403361345,2.5,125,70,-7
"146","Maryland","SMU",-20,-32.7249394673124,2,-1,-130,-4,40,-1,-0.021,2,-1,-130,-4,40,-1,-0.021008403361345,-2.5,-145,70,7
"147","Temple","Rutgers",40,32.7249394673124,-3,-147,-143,-1.1,-36,1,-0.108,-3,-147,-143,-1.1,-36,1,-0.108150470219436,17,625,44.5,-2
"148","Rutgers","Temple",-40,-32.7249394673124,3,147,143,1.1,36,-1,0.108,3,147,143,1.1,36,-1,0.108150470219436,-17,-1000,44.5,2
"149","Western Kentucky","Indiana",-19,51.4283292978209,2,109,50,2.4,37,0,0.172,2,109,50,2.4,37,0,0.171215880893301,7.5,230,59,-3
"150","Indiana","Western Kentucky",19,-51.4283292978209,-2,-109,-50,-2.4,-37,0,-0.172,-2,-109,-50,-2.4,-37,0,-0.171215880893301,-7.5,-280,59,3
"151","Colorado","Minnesota",43,-0.399308755760302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1350,46.5,-42
"152","Minnesota","Colorado",-43,0.399308755760302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,-6500,46.5,42
"153","Oregon","BYU",-43,-35.8564516129032,-1,57,-53,-2.4,-34,2,-0.032,-1,57,-53,-2.4,-34,2,-0.032432432432432,-4,-170,56.5,21
"154","BYU","Oregon",43,35.8564516129032,1,-57,53,2.4,34,-2,0.032,1,-57,53,2.4,34,-2,0.032432432432432,4,145,56.5,-21
"155","Arkansas State","Memphis",42,12.4288921315524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,425,62,-12
"156","Memphis","Arkansas State",-42,-12.4288921315524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.5,-600,62,12
"157","South Alabama","UCLA",28,45.5531403546251,-0.5,-107,-121,1.45,27.5,-1.5,-0.056,-1,-121,-124,1,35,-1,-0.110534509600415,14,450,59,-1
"158","UCLA","South Alabama",-28,-45.5531403546251,0.5,107,121,-1.45,-27.5,1.5,0.056,1,121,124,-1,-35,1,0.110534509600415,-14,-650,59,1
"159","Florida Atlantic","UCF",35,18.7033898305085,-0.5,-49,134,5.75,-39,0,0.155,1,10,143,6.7,-57,-1,0.209411764705882,9.5,240,58.5,-26
"160","UCF","Florida Atlantic",-35,-18.7033898305085,0.5,49,-134,-5.75,39,0,-0.155,-1,-10,-143,-6.7,57,1,-0.209411764705882,-9.5,-290,58.5,26
"161","Georgia Southern","UAB",-13,-6.2744976989561,3,-8,287,-0.3,-25,-2,-0.00600000000000001,3,-8,287,-0.3,-25,-2,-0.00595238095238093,12,330,56,-14
"162","UAB","Georgia Southern",13,6.2744976989561,-3,8,-287,0.3,25,2,0.00600000000000001,-3,8,-287,0.3,25,2,0.00595238095238093,-12,-440,56,14
"163","Louisiana","Rice",-25,-6.2744976989561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.5,-420,53,-12
"164","Rice","Louisiana",25,6.2744976989561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,315,53,12
"165","Georgia State","Charlotte",-23,-6.2744976989561,-1,121,37,-2.1,-3,0,-0.106,-3,104,42,-0.2,4,0,0.118279569892473,-19.5,-1500,60.5,-1
"166","Charlotte","Georgia State",23,6.2744976989561,1,-121,-37,2.1,3,0,0.106,3,-104,-42,0.2,-4,0,-0.118279569892473,19.5,775,60.5,1
"167","Troy","Appalachian State",-30,0,-2,-174.5,-136,-1.25,-30.5,1.5,0.132,-1,-121,31,1.5,-18,2,0.229166666666667,13,390,54.5,-4
"168","Appalachian State","Troy",30,0,2,174.5,136,1.25,30.5,-1.5,-0.132,1,121,-31,-1.5,18,-2,-0.229166666666667,-13,-550,54.5,4
"169","North Carolina","Notre Dame",5,-33.16,1.667,81.333,216.667,3.583,37.667,0.667,0.123,2,36,170,5.3,-16,2,0.052536231884058,-1,-130,59.5,-13
"170","Notre Dame","North Carolina",-5,33.16,-1.667,-81.333,-216.667,-3.583,-37.667,-0.667,-0.123,-2,-36,-170,-5.3,16,-2,-0.052536231884058,1,110,59.5,13
"171","Tennessee","Florida",-28,0,-0.667,-121,63,1.933,32,0.333,0.088,-1,-126,87,1.5,22,0,0.087301587301587,-9.5,-400,63.5,5
"172","Florida","Tennessee",28,0,0.667,121,-63,-1.933,-32,-0.333,-0.088,1,126,-87,-1.5,-22,0,-0.087301587301587,9.5,300,63.5,-5
"173","Charlotte","South Carolina",95,65.4801416645586,-0.333,27.334,43.6660000000001,1.034,26.667,-2,0.015,0,8,195,3,23,-2,0.162106703146374,23,1050,65.5,-36
"174","South Carolina","Charlotte",-95,-65.4801416645586,0.333,-27.334,-43.6660000000001,-1.034,-26.667,2,-0.015,0,-8,-195,-3,-23,2,-0.162106703146374,-23,-2500,65.5,36
"175","Northern Illinois","Kentucky",80,75.7955693971086,1,78.5,57,-0.85,42,0,0.0570000000000001,0,81,82,-0.600000000000001,30,0,0.189102564102564,25,1300,53,-8
"176","Kentucky","Northern Illinois",-80,-75.7955693971086,-1,-78.5,-57,0.85,-42,0,-0.0570000000000001,0,-81,-82,0.600000000000001,-30,0,-0.189102564102564,-25,-5000,53,8
"177","Tulsa","Ole Miss",98,46.7767518340501,-3.5,-207,-15,0.449999999999999,25,0,-0.0580000000000001,-5,-209,-118,-2.1,1,1,-0.037828947368421,20.5,775,62.5,-8
