"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","pointsDiff"
"793","Auburn","Mississippi State",-6,0,0.547,69,-10.167,1.317,-22,0.738,-0.0780000000000001,1,121,175,4.8,-45,-1,0.235469448584202,11,375,52.5,-6
"794","Mississippi State","Auburn",6,0,-0.547,-69,10.167,-1.317,22,-0.738,0.0780000000000001,-1,-121,-175,-4.8,45,1,-0.235469448584202,-11,-525,52.5,6
"795","Liberty","Arkansas",53,49.5089552238806,0,-41.285,-41.571,-0.686,-11.285,1.143,-0.0770000000000001,-1,14,27,-1.3,-12,1,0.160919540229885,14,430,64.5,2
"796","Arkansas","Liberty",-53,-49.5089552238806,0,41.285,41.571,0.686,11.285,-1.143,0.0770000000000001,1,-14,-27,1.3,12,-1,-0.160919540229885,-14,-625,64.5,-2
"797","Buffalo","Ohio",20,0,0.429,43.429,0.572000000000003,-1.229,11.286,0.714,-0.041,1,-1,44,-1.4,35,1,0.025641025641026,-3,-150,58.5,-21
"798","Ohio","Buffalo",-20,0,-0.429,-43.429,-0.572000000000003,1.229,-11.286,-0.714,0.041,-1,1,-44,1.4,-35,-1,-0.025641025641026,3,130,58.5,21
"799","Ball State","Kent State",-11,0,-0.833,-75.4,-83.3,-1.897,-13.467,0.267,0.0449999999999999,-2,-128,-163,-1.7,-3,3,0.0169230769230769,4,220,61.5,7
"800","Kent State","Ball State",11,0,0.833,75.4,83.3,1.897,13.467,-0.267,-0.0449999999999999,2,128,163,1.7,3,-3,-0.0169230769230769,-4,-270,61.5,-7
"801","Bowling Green","Western Michigan",4,0,-0.476,-12.953,40.881,1.3,18.096,-0.81,0.093,0,-65,65,8.3,116,0,0.372294372294372,-3.5,-175,47,4
"802","Western Michigan","Bowling Green",-4,0,0.476,12.953,-40.881,-1.3,-18.096,0.81,-0.093,0,65,-65,-8.3,-116,0,-0.372294372294372,3.5,150,47,-4
"803","Northern Illinois","Central Michigan",2,0,0.714,96.572,39.715,0.885000000000001,-16.714,-1.143,0.027,0,165,71,-0.7,6,-4,-0.2,-4,-210,55.5,-13
